id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,detector,start_GPS,strain
GW170823-v1,GW170823,1,GWTC-1-confident,1187529256.5,https://doi.org/10.7935/82H3-HH23,http://gwosc.org/eventapi/json/GWTC-1-confident/GW170823/v1,39.5,-6.7,11.2,29.0,-7.8,6.7,12.2,-0.3,0.2,1940.0,-900.0,970.0,0.09,-0.26,0.22,,,,29.2,-3.6,4.6,,,,0.35,-0.15,0.15,1e-07,,,1.0,,,65.4,-7.4,10.1,L1,1187529241.0,gravitational_wave_real_data/L1_GW170823.txt
GW190408_181802-v1,GW190408_181802,1,GWTC-2,1238782700.3,/GWTC-2/,http://gwosc.org/eventapi/json/GWTC-2/GW190408_181802/v1,24.6,-3.4,5.1,18.4,-3.6,3.3,14.79290708414002,,,1550.0,-600.0,400.0,-0.03,-0.19,0.14,43.0,-3.0,4.2,18.3,-1.2,1.9,23.7,-1.7,1.4,0.29,-0.1,0.06,1e-05,,,1.0,,,41.1,-2.8,3.9,H1,1238782685.0,gravitational_wave_real_data/H1_GW190408_181802.txt
GW190408_181802-v1,GW190408_181802,1,GWTC-2,1238782700.3,/GWTC-2/,http://gwosc.org/eventapi/json/GWTC-2/GW190408_181802/v1,24.6,-3.4,5.1,18.4,-3.6,3.3,14.79290708414002,,,1550.0,-600.0,400.0,-0.03,-0.19,0.14,43.0,-3.0,4.2,18.3,-1.2,1.9,23.7,-1.7,1.4,0.29,-0.1,0.06,1e-05,,,1.0,,,41.1,-2.8,3.9,L1,1238782685.0,gravitational_wave_real_data/L1_GW190408_181802.txt
GW190412-v3,GW190412,3,GWTC-2,1239082262.2,/GWTC-2/,http://gwosc.org/eventapi/json/GWTC-2/GW190412/v3,30.1,-5.1,4.7,8.3,-0.9,1.6,19.674587670393503,,,740.0,-170.0,140.0,0.25,-0.11,0.08,38.4,-3.7,3.8,13.3,-0.3,0.4,15.2,-0.2,0.2,0.15,-0.03,0.03,1e-05,,,1.0,,,37.3,-3.8,3.9,H1,1239082247.0,gravitational_wave_real_data/H1_GW190412.txt
GW190412-v3,GW190412,3,GWTC-2,1239082262.2,/GWTC-2/,http://gwosc.org/eventapi/json/GWTC-2/GW190412/v3,30.1,-5.1,4.7,8.3,-0.9,1.6,19.674587670393503,,,740.0,-170.0,140.0,0.25,-0.11,0.08,38.4,-3.7,3.8,13.3,-0.3,0.4,15.2,-0.2,0.2,0.15,-0.03,0.03,1e-05,,,1.0,,,37.3,-3.8,3.9,L1,1239082247.0,gravitational_wave_real_data/L1_GW190412.txt
GW190503_185404-v1,GW190503_185404,1,GWTC-2,1240944862.3,/GWTC-2/,http://gwosc.org/eventapi/json/GWTC-2/GW190503_185404/v1,43.3,-8.1,9.2,28.4,-8.0,7.7,12.20867275049248,,,1450.0,-630.0,690.0,-0.03,-0.26,0.2,71.7,-8.3,9.4,30.2,-4.2,4.2,38.6,-6.0,5.3,0.27,-0.11,0.11,1e-05,,,1.0,,,68.6,-7.7,8.8,H1,1240944847.0,gravitational_wave_real_data/H1_GW190503_185404.txt
GW190503_185404-v1,GW190503_185404,1,GWTC-2,1240944862.3,/GWTC-2/,http://gwosc.org/eventapi/json/GWTC-2/GW190503_185404/v1,43.3,-8.1,9.2,28.4,-8.0,7.7,12.20867275049248,,,1450.0,-630.0,690.0,-0.03,-0.26,0.2,71.7,-8.3,9.4,30.2,-4.2,4.2,38.6,-6.0,5.3,0.27,-0.11,0.11,1e-05,,,1.0,,,68.6,-7.7,8.8,L1,1240944847.0,gravitational_wave_real_data/L1_GW190503_185404.txt
GW190512_180714-v1,GW190512_180714,1,GWTC-2,1241719652.4,/GWTC-2/,http://gwosc.org/eventapi/json/GWTC-2/GW190512_180714/v1,23.3,-5.8,5.3,12.6,-2.5,3.6,12.26449406234808,,,1430.0,-550.0,550.0,0.03,-0.13,0.12,35.9,-3.5,3.8,14.6,-1.0,1.3,18.6,-0.8,0.9,0.27,-0.1,0.09,1e-05,,,1.0,,,34.5,-3.5,3.8,H1,1241719637.0,gravitational_wave_real_data/H1_GW190512_180714.txt
GW190512_180714-v1,GW190512_180714,1,GWTC-2,1241719652.4,/GWTC-2/,http://gwosc.org/eventapi/json/GWTC-2/GW190512_180714/v1,23.3,-5.8,5.3,12.6,-2.5,3.6,12.26449406234808,,,1430.0,-550.0,550.0,0.03,-0.13,0.12,35.9,-3.5,3.8,14.6,-1.0,1.3,18.6,-0.8,0.9,0.27,-0.1,0.09,1e-05,,,1.0,,,34.5,-3.5,3.8,L1,1241719637.0,gravitational_wave_real_data/L1_GW190512_180714.txt
GW190517_055101-v1,GW190517_055101,1,GWTC-2,1242107479.8,/GWTC-2/,http://gwosc.org/eventapi/json/GWTC-2/GW190517_055101/v1,37.4,-7.6,11.7,25.3,-7.3,7.0,10.687871630965631,,,1860.0,-840.0,1620.0,0.52,-0.19,0.19,63.5,-9.6,9.6,26.6,-4.0,4.0,35.9,-3.4,4.0,0.34,-0.14,0.24,5.720513515363399e-05,,,1.0,,,59.3,-8.9,9.1,H1,1242107464.0,gravitational_wave_real_data/H1_GW190517_055101.txt
